"","X.1","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"63176",144204,144204,"south","A",9926,"2007-04-30",0.25,1.83,1.93,4.34621610084141,0,3.47146947979444,1.23,0.47
"26231",812413,812413,"central","C",9982,"1999-04-19",1.03,2.54,2.36,7.81208383611841,0.968754892938622,1.59,1.44,0.57
"74679",808693,808693,"north","C",9982,"2000-08-29",23.97,3.93,3.53,8.45007781076393,5.4546633249143,2.9,1.52,2.77
"5577",1340414,1340414,"central","D",10026,"2004-11-11",5.65,2.57,2.32,3.97458078918102,0.283952730234007,0.86649767192911,1.35,1
"71283",207133,207133,"north","C",9932,"2004-05-28",6.51,4.18,4.6,4.49316125156707,0.0145288423696698,3.06,1.57,1.02
"61743",2712670,2712670,"central","B",10140,"1999-06-18",14.26,6.11,5.32,2.46792866776326,0.00892422123320542,4.54,1.63,2.24
"86095",204896,204896,"north","D",9932,"1999-08-19",22.14,8.95,8.53,3.69432365454203,10.4190344617757,6.4,1.54,3.06
"46763",142917,142917,"south","C",9926,"2000-09-11",11.9,2.15,1.54,5.83149382463208,6.38703147107211,3.67405644258167,1.33,1.92
"27358",1346891,1346891,"south","A",10026,"1999-04-18",0.49,1.75,1.83,3.46175601733961,0.028908943108255,0.347700135014651,1.27,0.48
"600",814430,814430,"south","D",9982,"1999-06-21",11.49,5.79,4.8,3.59479807198165,0.0101611785016388,4.51,1.61,1.83
"99176",2719437,2719437,"south","A",10140,"2007-10-18",7.78,2.04,2.7,2.52598653474559,7.21763980257831,1.36,1.31,1.31
"64849",138804,138804,"central","C",9926,"2000-05-29",4.24,3.14,2.85,1.31035291481444,16.4432148738112,4.39705147422969,1.41,0.66
"21185",810777,810777,"central","D",9982,"2004-05-10",2.12,3.01,2.9,5.26187634028554,0,2.07,1.36,0.7
"76567",816717,816717,"south","C",9982,"2000-07-25",5.57,2.03,1.53,3.05587824442677,0.0101690746373337,1.41,1.39,1.26
"68963",2710294,2710294,"north","C",10140,"2007-09-15",3.79,3.05,3.07,3.48216861696904,0,2.03,1.43,0.69
"38995",216265,216265,"south","A",9932,"2004-07-23",20.83,6.19,4.69,6.18139449792442,8.76689561093682,4.14,1.56,2.6
"89111",2717546,2717546,"south","C",10140,"1997-08-22",23.24,4.73,3.6,5.50633105504717,0.0131749213867401,3.24,1.67,2.66
"59849",2714959,2714959,"central","A",10140,"2000-10-03",43.87,5.75,4.13,12.8712232406503,0.0231508030198072,3.91,1.61,4.55
"4286",134628,134628,"north","C",9926,"1999-08-14",18.43,5.92,5.19,5.54453389365064,24.666553910271,5.70975318202515,1.64,2.68
"25233",1336560,1336560,"north","D",10026,"2007-09-01",13.11,2.58,2.14,6.04671730230533,0.00627794727716812,0.0421797302467646,1.43,1.91
"25272",1339186,1339186,"north","A",10026,"2000-10-07",23.33,3.17,3.76,10.5226346091272,1.64574557948501,1.56250962667565,1.47,3.07
"26353",143619,143619,"south","A",9926,"1999-05-16",8.39,4.17,3.47,2.28379939497728,0.076645877378109,4.90609637358023,1.57,1.04
"41118",2713145,2713145,"central","B",10140,"2004-09-21",19.69,5.45,4.92,5.20525040747211,0.00166196775889111,3.75,1.69,2.62
"73844",2714593,2714593,"central","A",10140,"1999-04-19",0.48,2.58,2.81,8.11906449472016,1.07903043892807,1.96,1.36,0.58
"69963",2718276,2718276,"south","C",10140,"2007-05-30",6.59,3.25,3.23,2.2112282450113,0.0161593294553359,2.14,1.49,1.06
"30339",2714784,2714784,"central","A",10140,"2000-04-11",0,0.05,0.06,3.68922989858347,0.318031074679947,0.04,0.85,0.12
"82009",1345412,1345412,"south","B",10026,"2004-09-28",33.81,4.61,3.48,13.0118171430771,0,1.55131785303499,1.56,3.72
"57393",215675,215675,"south","A",9932,"1997-07-26",20.24,5.66,3.92,5.276605018191,0.00424992646216655,3.89,1.82,2.5
"43652",1344912,1344912,"south","B",10026,"1999-06-11",10.66,5.44,5.03,2.9228470546585,4.52711936329029,2.26594497549289,1.5,1.45
"42248",136917,136917,"central","D",9926,"2004-04-28",0.33,1.47,1.4,7.18661768636472,0,3.09155259285743,1.2,0.44
"53209",205616,205616,"north","B",9932,"1997-07-21",18.63,6.4,6.69,2.25415483554408,0.493144769376743,4.44,1.69,2.44
"42535",2714939,2714939,"central","A",10140,"2000-09-13",38.14,5.89,4.1,11.2110327040478,36.3203945945039,4.1,1.69,4.39
"92926",1343687,1343687,"south","D",10026,"1997-07-14",10.32,4.03,3.28,3.08809921648401,0.381737456088825,1.98740518013579,1.56,1.86
"83289",140345,140345,"south","D",9926,"1997-06-02",0,2.96,3.34,3.33700096722818,6.04272197637718,4.16025643170405,1.47,0.73
"52566",808716,808716,"north","C",9982,"2000-09-21",24.16,3.89,3.39,8.65118059045158,8.58687129440987,2.84,1.48,2.98
"29280",135957,135957,"north","A",9926,"2004-06-09",8.55,4.03,2.84,3.12739746615248,0.00246941967190384,4.94185475550569,1.49,1.27
"33484",1345906,1345906,"south","C",10026,"1999-05-23",10.44,4.76,3.66,2.32991982914748,0.449456516521964,2.31672551635408,1.52,1.4
"46547",139480,139480,"central","A",9926,"1997-09-26",13.64,6.31,5.52,1.84369038866256,0.00640599693706454,6.07090206232513,1.58,2.03
"88821",135258,135258,"north","A",9926,"2007-10-11",1.09,2.61,2.33,2.89223816084935,0.00416255494224839,3.96326532062284,1.42,0.66
"67972",136163,136163,"north","A",9926,"2007-06-28",2.71,2.73,2.48,2.91306081825951,1.80785728018032,3.82343158267424,1.41,0.77
"89366",1345345,1345345,"south","B",10026,"2004-07-23",15.74,4.31,3.23,6.81215033982734,1.67881586813629,2.89018353904023,1.56,2.37
"93643",1345200,1345200,"south","B",10026,"2000-09-06",25.44,4.16,3.14,9.09947669003095,0.00158940459368686,1.19015794173425,1.47,3.1
"23678",2715332,2715332,"central","A",10140,"2007-10-08",12.03,2.43,2.44,7.67973860664078,0.166316241100322,1.61,1.21,2.26
"83558",814232,814232,"south","D",9982,"1997-07-11",10.79,4.44,3.18,2.93000719803581,0.00899868956167416,3.09,1.68,1.82
"86297",809814,809814,"north","A",9982,"2004-06-18",11.17,4.46,2.89,3.21766995204608,4.73602346765915,3.29,1.48,1.67
"94907",807185,807185,"north","B",9982,"1997-05-01",0,1.08,1.08,5.30610070067302,19.457538559692,0.75,1.2,0.45
"37792",808791,808791,"north","C",9982,"2004-06-05",9.54,4.08,3.46,3.62000036097241,0,3.25,1.62,1.34
"23854",142694,142694,"south","C",9926,"1999-08-19",15.83,5.09,4.08,3.20278686041969,0.0470979287053646,5.68722308173883,1.68,2.11
"63153",2714458,2714458,"central","A",10140,"1997-07-04",18.71,6.73,6.56,2.49463005666396,0.0367698362579667,4.63,1.6,2.42
"3681",1341832,1341832,"central","C",10026,"1997-10-13",24.56,6.4,5.27,4.91488517537075,2.7763554341505,3.79229249343894,1.65,3.03
"92892",2718601,2718601,"south","A",10140,"1997-09-26",20.88,5.2,4.71,4.49401545768508,0.0308072675665292,3.49,1.5,2.65
"9286",2714969,2714969,"central","A",10140,"2004-04-17",0,0.1,0.09,1.8137871053331,0.00613468899087546,0.07,0.88,0.16
"67241",1337476,1337476,"north","B",10026,"2007-07-14",8.36,2.62,2.11,2.84918784078112,0,0.564696870009847,1.37,1.12
"39768",1347292,1347292,"south","A",10026,"2004-05-09",2.45,2.9,3.02,5.85084005147466,0,0.22626346436279,1.54,0.6
"85280",2717601,2717601,"south","C",10140,"1997-10-16",25.06,3.47,3.21,6.62992146431102,0.017890838039869,2.23,1.41,3.01
"35131",2713156,2713156,"central","B",10140,"2004-10-02",17.47,4.59,5.07,5.33834405064372,0.120392914443987,3.05,1.6,2.61
"34382",815366,815366,"south","B",9982,"1997-10-13",30.24,4.77,3.76,10.6187362381652,1.28406055574125,3.44,1.55,3.38
"61713",143511,143511,"south","A",9926,"1997-08-29",19.33,4.66,3.49,5.0922028376229,0.0061107033227769,5.16291797846388,1.7,2.48
"51238",1345881,1345881,"south","C",10026,"1999-04-28",0.06,3.48,3.28,3.32092780182606,11.751405943393,0.936138454127292,1.46,0.63
"17043",136724,136724,"central","D",9926,"2000-04-15",0,0.22,0.19,2.31722489205622,0.0182627864635323,2.19315821211608,0.86,0.2
"77400",2709850,2709850,"north","C",10140,"2000-07-03",13.59,4,3.29,2.65641624404387,1.28161688661938,2.81,1.46,1.9
"80692",1344580,1344580,"south","D",10026,"2007-09-14",4.1,2.6,2.3,2.80117212901445,0.0123804115223571,0.648589943542055,1.36,0.66
"32235",216001,216001,"south","A",9932,"2000-04-30",0,0.84,1.04,2.29343435970163,0.00745530219981511,0.6,1.13,0.38
"39292",814896,814896,"south","D",9982,"2004-07-31",17.3,5.01,3.35,7.35747092024441,16.5557614670193,3.15,1.56,2.58
"23812",213728,213728,"south","B",9932,"1997-10-25",28.47,5.07,5.19,10.4872747752194,2.36496688440034,3.54,1.65,3.8
"70502",208474,208474,"central","D",9932,"2007-10-19",2.43,3.31,3.12,3.44515114363392,22.8902358047313,2.04,1.55,0.72
"54506",809435,809435,"north","A",9982,"1999-07-05",18.73,5.83,5.36,5.71018414680564,0,4.1,1.69,2.47
"38192",139271,139271,"central","C",9926,"2007-09-17",15.83,2.46,2.24,6.82846158557165,0,3.79804349509194,1.44,2.2
"94162",133708,133708,"north","B",9926,"1999-10-09",18.71,7.35,6.6,3.33236043425481,0.11024984813935,7.41580093916813,1.56,2.49
