"","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"1443310",1443310,"south","A",10034,"1999-09-20",18.56,3.68,4.29,5.02102544620937,0.209510032219888,2.54,1.45,2.43
"2550207",2550207,"south","A",10126,"1999-05-04",0.27,3.77,3.55,2.53173655719684,0.0116345284562496,2.49,1.48,0.71
"994994",994994,"south","D",9997,"1999-08-29",15.78,5.58,4.83,5.52047432344657,0.0371261007681772,4.31,1.52,2.37
"1189623",1189623,"south","C",10013,"1999-10-16",15.72,2.57,4,2.90058287341268,0.0026542985654337,1.67,1.4,1.97
"701205",701205,"north","A",9973,"1999-09-10",20.87,5.53,4.83,6.02967077090976,0.0029935833133603,3.99,1.77,2.66
"412220",412220,"north","A",9949,"1997-10-05",27.65,4.2,3.55,9.79591427089623,0.943018881960391,3.16,1.54,3.36
"419115",419115,"south","B",9949,"2007-11-24",3.53,2.37,2.29,2.78227784156998,0.136206941657402,1.66,1.27,0.65
"761905",761905,"north","A",9978,"2007-07-24",0,2.68,2.33,2.96989276956132,0,1.94,1.43,0.7
"677284",677284,"north","A",9971,"2000-07-12",14.34,3.7,3.82,4.09467940079342,13.0199655545586,2.76,1.68,1.82
"1805765",1805765,"north","D",10065,"2007-06-11",4.97,2.73,2.81,2.5596061949673,0.000415264240098249,1.85,1.33,0.8
"2225555",2225555,"south","A",10099,"2000-06-12",7.25,2.18,1.54,0.931436716367614,0.540793424315971,1.43,1.38,0.99
"1674776",1674776,"north","C",10054,"1999-05-30",13.16,5.84,5.21,3.34650521724331,0.154454288525662,4.03,1.71,1.75
"75457",75457,"north","A",9921,"1999-08-09",23.08,6,5.36,5.57822157220724,6.27060519118281,4.09,1.55,2.69
"193165",193165,"north","D",9931,"2004-06-10",4.09,3.52,2.85,1.68500901997596,3.76358388905134,2.47,1.52,0.95
"2635114",2635114,"south","A",10133,"2007-07-18",6.45,3.64,3.29,3.06221775027142,2.34512751505097,2.38,1.5,1.42
"1496415",1496415,"central","D",10039,"1999-09-24",12.59,3.31,3.78,4.08051751769833,0.0116037535989431,2.59,1.53,2.15
"2134218",2134218,"central","D",10092,"2000-05-01",0,0.54,0.66,1.5626869044558,0.0104074332811696,0.39,1.03,0.3
"2381253",2381253,"south","C",10112,"2004-09-29",23.15,3.28,3.21,6.39125701732386,0,2.44,1.68,2.56
"172900",172900,"central","D",9929,"2000-07-01",6.41,1.98,1.41,1.5436252267955,0.00373463475851018,1.32,1.39,1.09
"1416644",1416644,"south","D",10032,"2007-05-03",0,1.4,1.29,4.61073551609276,0.0233842022202825,0.84,1.15,0.43
