"","X","sitename","plotid","genotype","date","Stem","Leaf","Root","Rhizome","precip","LAI","NDVI","Height"
"2585623",2585623,"south","C",10129,"2000-09-18",19.69,2.67,2,6.73463145499977,0,1.73,1.24,2.27
"1517741",1517741,"north","B",10041,"2004-05-22",2.18,2.28,2.17,1.72860946698616,27.6169160014087,1.59,1.43,0.54
"1207741",1207741,"central","D",10015,"2000-07-04",2.38,1.92,1.45,1.69713731138904,1.57061601240374,1.37,1.42,1.18
"173942",173942,"central","B",9929,"2000-07-23",8.92,2.4,1.54,3.07098269618831,0.010881531968844,1.57,1.45,1.49
"496579",496579,"north","A",9956,"1999-07-07",20.04,5.72,5.34,5.4647382897659,0.00868217668345616,3.98,1.59,2.74
"990494",990494,"north","A",9997,"2007-06-16",3.54,2.62,2.33,3.07541854261628,0.00530756311527621,1.81,1.41,0.7
"1056278",1056278,"south","B",10002,"2000-04-29",0,2.05,2.22,6.69313467598668,0.194402680342684,1.45,1.35,0.5
"202106",202106,"south","B",9931,"2004-04-10",0,0.77,0.62,9.67924317895451,0.0421382734517836,0.43,1.03,0.35
"684924",684924,"south","A",9971,"1997-06-18",9.03,4.6,3.39,1.71933567708022,10.6724007089631,2.83,1.57,1.3
"1241164",1241164,"north","B",10018,"2007-05-27",1.14,1.96,1.88,2.51559608249244,15.6322753562913,1.38,1.27,0.5
"2646154",2646154,"south","C",10134,"2007-08-14",2.52,3.11,3.09,2.26024314306489,7.95675583890405,2.18,1.44,0.95
"1789644",1789644,"south","D",10063,"2004-10-14",34.19,3.85,3.75,12.1072883733191,11.4326200176924,2.63,1.55,3.92
"1708053",1708053,"south","A",10056,"1999-10-07",16.87,2.56,3.66,4.23386559696861,0,2,1.41,2.32
"305501",305501,"central","D",9940,"2004-08-28",17.44,4.68,3.48,5.31401890388352,0.174053992123751,3.39,1.51,2.33
"305132",305132,"central","D",9940,"1999-09-08",12.89,4.55,3.82,2.82115616920416,0,3.22,1.55,1.93
"965879",965879,"north","A",9995,"1999-07-20",27.65,7.01,6.29,7.39761457850046,3.34107503467789,4.87,1.56,3.23
"1581001",1581001,"central","D",10046,"2004-08-30",18.02,6.45,4.88,4.38672479223551,5.26072529731726,4.51,1.83,2.57
"1941961",1941961,"central","D",10076,"2004-07-31",17.7,6.33,4.6,3.87542291678978,20.0479162348383,3.62,1.55,2.06
"995623",995623,"south","D",9997,"2007-09-14",2.39,2.6,2.64,2.91279840083404,0.0123804115223571,1.82,1.49,0.71
"2642688",2642688,"central","A",10134,"2000-07-22",14.63,4.28,2.64,2.65794241113985,0.480084045070259,2.95,1.47,2.09
"1995933",1995933,"south","C",10080,"2000-07-07",10.49,2.5,2.09,2.26157695094768,1.31508207641606,1.51,1.36,1.38
"756791",756791,"south","C",9977,"2004-09-22",17.44,4.3,3.61,4.60705525781504,0,2.97,1.53,2.3
"1072529",1072529,"north","B",10004,"2004-05-31",0,2.67,2.31,1.46601482592574,35.4748642781696,1.75,1.32,0.85
"625922",625922,"north","D",9967,"1999-04-12",0,1.96,1.77,9.7541881048465,2.43702419448329,1.42,1.28,0.5
"1219334",1219334,"central","D",10016,"1997-06-07",0.03,3.58,3.43,2.47923961295311,8.13174233050976,2.59,1.52,0.95
"477420",477420,"south","D",9954,"1999-03-27",0,0.14,0.14,9.65152886778513,0.0120006560763847,0.09,0.82,0.2
"880751",880751,"north","C",9988,"2000-04-11",0,0.32,0.38,8.24980528474482,0.429103141596528,0.23,0.92,0.25
"2258139",2258139,"south","D",10102,"1997-05-19",0,2.09,2.18,3.68049286584588,5.72730323686392,1.46,1.49,0.57
"2509030",2509030,"central","C",10123,"1997-10-10",26.87,6.46,5.35,7.27160948705037,3.98722698586105,4.14,1.69,3.43
"73102",73102,"north","D",9921,"2007-09-08",17.03,2.62,2.28,6.87446804980624,6.34212285621209,1.75,1.43,2.27
"2502829",2502829,"south","A",10122,"2007-10-04",8.11,2.04,3.08,3.42380596950712,0.00124998254964071,1.56,1.22,1.36
"289787",289787,"north","B",9939,"1997-05-22",1.6,2.41,2.85,2.76948859906186,0.00176899013685779,1.72,1.37,0.54
"2035896",2035896,"north","C",10084,"1999-10-07",17.13,4.78,5.02,5.36321414006542,0,3.35,1.57,2.63
"718024",718024,"south","D",9974,"1997-09-05",25.68,3.99,3.51,8.57529300681653,0.0016746800715862,3.1,1.62,2.88
"1600885",1600885,"north","D",10048,"2000-07-18",18.57,5.5,3.74,3.28105889321659,0.0101359283902657,3.75,1.57,2.45
"748118",748118,"north","C",9977,"1997-09-08",22.59,4.12,3.37,7.55419670850609,3.14561518831113,2.77,1.67,2.7
"278807",278807,"north","C",9938,"1997-08-15",11.57,3.27,2.91,3.49727400349746,0.455553077849993,2.47,1.66,1.61
"1320150",1320150,"south","D",10024,"2000-10-22",27.33,2.74,2.93,9.38079079118898,0.00294525359659777,1.82,1.45,3.58
"38171",38171,"north","C",9918,"1997-09-08",17.02,3.99,3.2,7.89087650798282,3.14561518831113,2.75,1.41,2.88
"2514628",2514628,"south","A",10123,"2004-09-21",17.4,4.19,3.69,6.79437169185562,0.00166196775939047,2.8,1.47,2.6
"2080004",2080004,"south","C",10087,"1999-08-16",17.74,5.31,3.89,3.84241240546531,0.00715530187215925,3.54,1.59,2.36
"1434142",1434142,"north","C",10034,"1999-06-25",15.26,6.27,5.21,3.98940073442904,7.60969843625804,4.38,1.64,2.23
"2242547",2242547,"central","D",10101,"2000-06-02",3.02,1.72,1.46,1.08180141713843,0.00674999589732001,1.08,1.25,0.7
"2131328",2131328,"north","B",10092,"2000-08-13",22,5.07,3.26,6.31960059077677,0.0149023443292681,3.4,1.43,3.31
"301115",301115,"north","D",9940,"1999-07-05",17.55,7.45,6.58,2.9399806387298,0.000190614153968684,5.22,1.63,2.31
"2535740",2535740,"south","D",10125,"2007-05-30",0,2.78,2.83,4.16254823170193,0.103793251942993,2.04,1.37,0.68
"402439",402439,"central","B",9948,"1999-10-01",11.43,3.17,4.7,2.8361331153413,0.0154770365286942,2.37,1.4,1.9
"1167961",1167961,"north","D",10012,"2007-04-17",0,0.26,0.24,4.22841166080122,0,0.15,0.84,0.24
"1077777",1077777,"central","C",10004,"2007-07-11",8.18,2.45,2.29,2.49110985075,7.22031593242609,1.72,1.35,1.13
"2279977",2279977,"central","B",10104,"2004-10-11",14.21,3.35,3.72,5.58429922942906,0.020573628444652,2.25,1.45,2.04
"1531869",1531869,"north","A",10042,"2004-09-01",25.4,3.74,2.69,8.68125696835966,0.00131183916869452,2.49,1.5,2.85
"1434391",1434391,"north","C",10034,"2000-08-11",18.53,4.2,3.77,7.53354671940713,0.0672015943681499,2.83,1.55,2.73
"1490946",1490946,"south","C",10038,"2007-07-05",7.36,3.72,3.26,2.58888897023255,2.01686332937433,2.47,1.54,1.06
"1268645",1268645,"central","B",10020,"1999-04-14",0,2.26,2.31,5.87767577287749,0.0261042856941874,1.57,1.37,0.58
"739617",739617,"central","B",9976,"2004-05-28",10.76,5.56,4.65,5.63339266136527,3.857975132734,3.78,1.6,1.57
"2631071",2631071,"central","A",10133,"2007-09-08",8.75,2.33,1.81,5.30996760510583,8.90548515672693,1.62,1.33,1.84
"1661661",1661661,"north","B",10053,"1997-09-11",19.16,5.52,5.03,3.14343131980281,0.00672646040574655,3.85,1.66,2.46
"1258416",1258416,"central","A",10019,"1997-05-16",1.38,2.43,2.48,4.26540051029872,1.47016428167348,1.75,1.46,0.6
"828304",828304,"south","C",9983,"1997-06-22",8.22,4.24,2.84,1.43254865354578,1.78503846161305,2.6,1.6,1.26
"159946",159946,"north","A",9928,"2000-10-01",22.53,3.73,3.5,10.0866326596557,0.00957591894013483,2.42,1.49,3.13
"2473946",2473946,"central","A",10120,"1999-05-02",2.54,3.87,4.21,5.24724430041947,0.0140319716002595,2.8,1.58,0.76
"1968437",1968437,"central","A",10078,"1997-07-29",8.93,5.94,6.6,1.88786475146695,0.645579374602389,4.21,1.75,1.8
"1711525",1711525,"north","C",10057,"2007-08-16",0.42,2.31,2.26,2.58544758513051,0.176604647519905,1.71,1.56,0.65
"28056",28056,"central","D",9917,"1997-05-27",2.66,2.57,3.21,2.11841337953676,12.1919049845989,1.93,1.41,0.65
"1392566",1392566,"south","D",10030,"2007-04-21",0,0.49,0.5,6.12294368548438,0,0.35,0.91,0.27
"324233",324233,"south","A",9941,"1999-09-12",21.27,3.98,3.58,5.72348369332976,0,2.96,1.5,2.49
"130362",130362,"south","C",9925,"1997-05-25",2.86,2.55,2.87,2.05979470879738,2.96220226462383,1.88,1.33,0.62
"274047",274047,"south","B",9937,"1999-08-22",14.28,5.63,5.28,4.00242592032096,0.0032307587255392,3.87,1.53,1.92
"422017",422017,"north","D",9950,"2007-07-28",7,2.41,2.22,3.66100273285272,23.6209029726332,1.62,1.48,1.35
"2088055",2088055,"central","C",10088,"1999-09-10",15.69,8.12,6.95,2.79411682553382,0.00312238543042851,5.74,1.66,2.84
"99532",99532,"north","A",9923,"1999-08-18",16.87,5.71,5.01,5.85110833268188,0.00994602467884187,4.02,1.66,2.78
"1329705",1329705,"central","C",10025,"1997-07-11",18.31,6.67,5.51,2.0595701256715,0.0095322092162864,4.82,1.7,2.33
"613956",613956,"north","D",9966,"1999-06-18",18.39,7.78,7.18,3.34820163387703,0.105837801232212,5.41,1.67,2.07
"1717864",1717864,"south","B",10057,"1999-04-01",0,0.77,0.65,8.48037398235054,0.0386286297985586,0.52,1.09,0.31
"2265019",2265019,"north","C",10103,"2007-07-23",2.82,2.35,2.37,2.46837598966269,0.00115494137102123,1.59,1.29,0.68
"152354",152354,"south","D",9927,"1997-05-09",0.11,1.93,1.95,5.24382426710615,4.52017046003364,1.45,1.3,0.49
"2382167",2382167,"south","A",10112,"2004-06-15",18.6,6.09,4.43,3.87515989553493,0.966335628211107,4.18,1.58,2.4
"1868809",1868809,"north","A",10070,"2004-09-17",26.37,3.9,3.43,11.1052672373238,15.607601238722,2.96,1.63,3.33
"1890801",1890801,"north","B",10072,"2004-06-28",9.97,4.37,2.53,1.18586084796636,0.000119857793609885,3.19,1.56,1.48
"2374358",2374358,"north","A",10112,"2007-08-24",0.55,2.56,2.42,3.04018895996481,1.62294911224998,2,1.42,0.66
"353516",353516,"central","D",9944,"2004-05-03",1.37,2.38,2.32,7.15028432622655,2.7194161167051,1.6,1.3,0.5
"1883794",1883794,"central","C",10071,"2004-06-24",4.35,2.79,1.77,0.797302413070274,1.64458599614882,1.95,1.5,1.11
"22709",22709,"south","C",9916,"2004-07-15",16.65,4.69,3.42,4.59601256274982,6.56686179500137,3.42,1.62,1.92
"288085",288085,"south","A",9938,"1999-07-25",15.63,4.99,4.31,2.00114113096062,6.48707548382262,3.22,1.63,2.02
"1039164",1039164,"central","D",10001,"1999-09-27",12.96,2.93,3.89,2.19024092592157,0.00870778306390858,2.14,1.49,1.66
"1149103",1149103,"central","C",10010,"2007-10-18",6.98,2.47,2.88,3.0602515563266,14.1434623752045,1.75,1.45,1.14
"2349851",2349851,"north","A",10110,"2000-06-22",9.83,4.09,3.41,2.03394232302668,40.0036300120782,2.77,1.45,1.5
"1193085",1193085,"north","B",10014,"2007-07-19",8.48,2.56,2.16,3.35201113370991,3.22979956234289,1.73,1.39,1.2
"733158",733158,"south","A",9975,"1997-09-28",19.72,4.25,3.52,5.06653341728613,0.000646774631235585,2.86,1.54,2.65
"1480551",1480551,"north","D",10038,"2000-07-14",11.89,4.66,3.02,2.11221036675593,1.78699997476651,3.16,1.55,2.03
"2310555",2310555,"north","D",10107,"1999-04-25",0.47,3.45,3.13,7.59930393179332,0.201317522058732,2.39,1.46,0.7
"2233695",2233695,"central","A",10100,"2004-06-02",0.07,2.71,2.11,1.3194028988227,0.282781107893006,1.76,1.33,0.79
"2716492",2716492,"south","B",10140,"1997-07-17",13.11,4.96,4.5,3.43030926502451,0.0154555314757857,3.51,1.58,1.96
"2045567",2045567,"south","A",10084,"2007-09-26",8.19,2.18,3.04,3.06296908962496,12.5123709657559,1.48,1.33,1.38
"1902304",1902304,"north","B",10073,"1997-08-25",18.04,5.63,4.43,3.19193404290531,6.40639749528306,3.92,1.63,2.47
"447228",447228,"north","C",9952,"1997-07-05",7.57,3.58,2.64,1.88222119299743,0.270507825483197,2.52,1.52,1.37
"1150775",1150775,"central","A",10010,"2004-07-22",12.25,3.73,2.13,2.76625078541478,9.38523621772545,2.32,1.58,1.79
"1482696",1482696,"north","C",10038,"2004-08-01",17.59,4.48,3.1,6.93387785545127,0.516611548965974,3.41,1.49,2.54
"2273670",2273670,"south","A",10103,"2000-05-26",1.09,1.71,1.52,1.32179008686154,5.35152734662022,1.08,1.18,0.58
"517427",517427,"north","D",9958,"1997-04-24",0,0.69,0.6,6.71434940641929,0.135282063941492,0.44,0.96,0.36
"358398",358398,"south","B",9944,"2000-06-02",4.32,3.32,2.54,1.91975798742635,0.732170176081184,2.41,1.5,1.03
"2012595",2012595,"north","A",10082,"1997-09-21",27.3,4.42,3.49,9.58104701129677,2.232961708568,3.15,1.65,3.06
"2325260",2325260,"north","A",10108,"2007-10-07",1.85,2.73,2.66,3.02005708331705,0,1.81,1.49,0.73
"1777592",1777592,"south","D",10062,"2004-09-25",32.68,4.64,3.6,12.1192893784831,0,3.26,1.57,3.77
"973710",973710,"south","A",9995,"1997-06-12",8.37,5.19,4.39,3.32739506099121,0.0122085297482598,3.83,1.5,1.43
"2202927",2202927,"north","D",10098,"2007-08-23",16.91,2.6,2.26,5.84243087506991,21.0246747354985,1.77,1.33,1.99
"763475",763475,"central","B",9978,"2000-04-30",0,0.64,0.7,1.92298414648185,0.0074553021984917,0.49,1.11,0.37
"2631264",2631264,"south","D",10133,"1997-08-29",14.29,3.91,3.54,7.04536902244076,0.00655975366808631,2.93,1.56,2.67
"793718",793718,"south","A",9980,"2000-09-10",10.22,2.23,1.75,5.61922741804727,8.18247782321852,1.74,1.45,2.1
"986311",986311,"south","A",9996,"2004-05-18",4.8,4.25,4.43,5.72987445989766,1.17160614549074,3.22,1.46,0.91
"2238402",2238402,"north","D",10101,"1999-06-09",11.72,6.39,6.33,3.33314965604842,0.00676093769787545,4.88,1.66,1.71
"327806",327806,"north","A",9942,"2007-10-31",3.04,2.55,2.48,2.82799612795974,0,1.61,1.5,0.64
"1611235",1611235,"south","C",10048,"2007-05-25",6.11,3.57,3.19,3.07537631633138,0.0121544012434109,2.43,1.48,1.08
"1855524",1855524,"north","C",10069,"2000-07-20",14.88,3.91,2.82,3.73760567074989,5.12699063426907,2.5,1.5,1.82
"2128833",2128833,"south","A",10091,"1997-04-28",0,0.59,0.56,3.60933376387963,13.6477310705352,0.41,0.99,0.3
"1725022",1725022,"central","D",10058,"1999-09-04",17.37,4.69,3.66,4.92205779139355,0.00234833937172993,3.06,1.56,2.51
"150676",150676,"central","C",9927,"1999-07-06",19.08,7.63,6.75,2.74376211884832,0.0697133801223379,5.06,1.69,2.36
"1148628",1148628,"central","B",10010,"2000-08-05",13.12,2.88,2,4.38310797592798,6.15518706025098,1.94,1.37,1.93
"1031874",1031874,"south","B",10000,"1997-07-19",14.32,5.12,4.55,3.59975724579989,3.30591897468933,3.57,1.55,2.22
"870407",870407,"central","D",9987,"1997-07-07",13.09,3.7,2.28,1.70695108585094,0.0136199267207296,2.39,1.43,1.48
"1274079",1274079,"south","C",10020,"2004-05-14",1.35,2.75,2.83,2.94924218064359,11.7610575427568,1.93,1.51,0.57
"316443",316443,"north","A",9941,"2004-05-31",7.26,3.76,3.05,3.24294673652761,30.9267356437328,2.51,1.53,0.98
"2105952",2105952,"north","D",10090,"1997-10-10",25.59,7.05,6.16,2.93778877570915,4.04370855945024,4.82,1.63,3.1
"1896762",1896762,"central","A",10072,"2004-05-24",2.08,2.05,1.97,1.34089645809904,22.7806288832389,1.49,1.26,0.52
"1113513",1113513,"central","C",10007,"2000-07-04",13.39,4.61,2.86,0.782978821796523,42.9416228230182,3.01,1.62,1.95
"1004980",1004980,"central","C",9998,"1999-05-28",7.46,6.54,6.2,3.47037967878836,0.0164146949811818,4.61,1.78,1.34
"2420920",2420920,"north","C",10116,"1999-09-05",22.6,6.06,5.03,5.75118021190355,0.00791367053726761,4.29,1.73,2.51
"2529967",2529967,"north","A",10125,"1997-08-05",17.72,4.44,4.12,5.58849738145138,7.66350579950796,3.34,1.56,2.49
"1804524",1804524,"south","A",10064,"2004-04-17",0,0.35,0.35,8.80487048999689,0,0.24,1,0.26
"1112125",1112125,"central","B",10007,"1997-08-14",21.4,4.47,3.05,5.91934153092365,1.86589242401031,3.14,1.5,2.52
"1063140",1063140,"central","D",10003,"1999-06-29",14.58,4.65,3.41,2.72868403136975,7.34922060927033,3.44,1.46,2.02
"710013",710013,"north","D",9974,"1997-06-21",9.03,5.31,5.39,2.38698622806106,3.89963717729137,3.65,1.66,1.39
"2199890",2199890,"south","B",10097,"2007-08-07",2.37,2.17,2,2.61275516221638,0.740969222644462,1.46,1.34,0.79
"104294",104294,"south","D",9923,"1997-07-20",16.64,4.15,3.25,3.73158781449406,1.42565827427514,3.02,1.45,1.98
"2333774",2333774,"south","A",10108,"1999-10-12",19.99,2.55,4.02,4.4869845303769,0.0189520283677033,1.76,1.44,2.73
"599432",599432,"south","B",9964,"2007-05-30",2.33,2.38,2.58,3.92368483455986,0.223872607530239,1.66,1.43,0.62
"741587",741587,"central","A",9976,"2004-05-17",0,1.25,1.3,1.1955005134244,0.00194330298753994,0.94,1.21,0.41
"1808424",1808424,"north","A",10065,"2000-08-19",23.28,4.41,4.62,8.93734272458305,5.32132935192901,3.3,1.44,2.84
"425152",425152,"central","D",9950,"1997-06-03",4.8,3.26,3.35,2.15807324573399,3.00900377099236,2.16,1.4,0.8
"134142",134142,"north","B",9926,"2007-06-10",2.33,2.51,2.16,2.25391113740756,0.00213710916221498,1.53,1.42,0.68
"1294934",1294934,"central","A",10022,"2000-05-25",2.52,2.96,2.78,1.13014154549101,0.0121514189895742,1.89,1.44,0.74
"1914551",1914551,"north","B",10074,"1999-08-29",23.79,9.12,9.01,3.66931779886953,0.012051977033829,6.65,1.7,2.89
"860748",860748,"central","C",9986,"2000-04-23",0,0.45,0.41,2.12994702445389,0.0308194216650276,0.31,0.95,0.25
"1799649",1799649,"central","C",10064,"2004-09-18",26.75,3.83,2.17,8.15938615375809,0.00555719828246436,2.9,1.58,3.07
"794122",794122,"south","A",9980,"2007-09-13",10.65,3.19,3.25,3.32041035912738,0.0309987221417235,2.1,1.46,1.43
"702105",702105,"central","D",9973,"1999-05-15",8.2,5.08,4.2,2.86000279261465,0.0155481221052774,3.52,1.62,1.1
"1911145",1911145,"south","B",10073,"2007-09-23",0,2.16,2.11,2.67146037790326,0.103790699167689,1.63,1.3,0.66
"2043282",2043282,"south","B",10084,"2004-08-15",28.01,4.39,3.34,9.41126228984906,0.0418830142597757,3.33,1.53,2.96
"1941734",1941734,"central","D",10076,"2000-06-14",2.51,2.11,1.36,0.869995894410941,1.75272476277024,1.61,1.35,1
"1632312",1632312,"central","A",10050,"2007-08-19",11.89,2.36,2.17,5.04622298468453,4.45583150918706,1.54,1.35,1.98
"1404982",1404982,"south","B",10031,"1997-10-12",24.89,4.45,3.41,9.90484311641418,0.0125093486745039,3.35,1.49,3.09
"62820",62820,"north","C",9920,"2004-08-19",27.96,5.09,3.81,9.18459059610283,6.34176543622181,3.42,1.55,3.15
"339327",339327,"north","C",9943,"2000-06-11",7.74,3.4,3.64,2.14776951347751,0.0899779646409083,2.59,1.48,1.33
"2513219",2513219,"south","C",10123,"1999-09-12",19.77,3.92,3.41,4.71315351654169,0,2.89,1.59,2.62
"1265189",1265189,"north","B",10020,"2007-04-16",0,0.24,0.25,6.08484302080331,0,0.18,0.83,0.24
"1006223",1006223,"central","A",9998,"2000-08-14",18.01,4.17,2.96,5.78208431528008,2.34559434179954,3.21,1.53,2.99
"300074",300074,"south","A",9939,"1999-06-11",12.65,4.6,4.47,1.36503197355219,0.0356136743521398,3.55,1.62,1.6
"1763002",1763002,"central","C",10061,"1999-04-01",0,0.46,0.46,8.65828202676083,0.0159978731053767,0.34,0.93,0.29
"362895",362895,"north","B",9945,"2007-10-14",15.97,2.84,2.66,8.23527816569534,0.00141784376420238,1.8,1.4,2.49
"2072972",2072972,"north","A",10087,"1999-09-15",23.3,5.66,5.43,6.92001534240165,0.00398620384166768,4.27,1.63,2.73
"1858920",1858920,"central","B",10069,"2007-06-10",5.92,3.4,3.18,2.23911739653625,0.0114642703140897,2.4,1.54,1.13
"1480957",1480957,"north","D",10038,"2007-09-02",13.98,2.84,2.43,6.09096616534255,0.0025985299072123,1.86,1.35,1.86
"758530",758530,"north","D",9978,"2000-06-03",2.15,4.02,2.99,1.42700733814207,17.5042166626683,2.52,1.61,0.92
"1690858",1690858,"central","C",10055,"1999-05-25",6.66,6.98,7.12,4.17520916195854,0.525826571237932,4.95,1.59,1.41
"937714",937714,"south","A",9992,"1997-09-23",16.92,4.51,3.56,4.60277093150865,0,3.1,1.6,2.25
"2296646",2296646,"south","C",10105,"1999-10-03",14.94,3.65,5.15,3.16970879940745,0.00326682900361071,2.4,1.51,2.35
"258139",258139,"central","B",9936,"2000-06-19",4.21,2.35,1.63,1.12155009673437,12.7011421021461,1.71,1.52,1.07
"969937",969937,"central","A",9995,"1999-08-26",27.98,8.98,7.32,4.08304802440524,3.21178639858598,6.25,1.68,3.31
"588732",588732,"south","A",9963,"1997-08-29",19.62,4.56,3.45,5.0922028376229,0.0061107033227769,3.48,1.58,2.53
"974388",974388,"south","A",9995,"2004-09-05",30.36,5.75,4.56,11.8819917359532,0.000702045553653607,4.31,1.7,3.79
"1935",1935,"north","C",9915,"1997-04-24",0,0.96,0.85,6.44891565963066,0.205589589333493,0.6,1.19,0.33
"990163",990163,"north","A",9997,"2000-08-02",18.37,4.16,3.68,6.54681090724853,1.54179874168206,2.78,1.48,2.36
"2682630",2682630,"south","A",10137,"1999-07-03",18.86,4.9,4.05,3.82987738204284,6.39817537456441,3.85,1.68,2.23
"1880859",1880859,"north","A",10071,"2004-10-04",25.32,3.31,2.65,9.06830556432561,0,2.51,1.55,2.8
"875485",875485,"south","B",9987,"1997-08-28",19.53,4.46,3.42,6.67000933663236,0.0687165859484809,3.19,1.52,2.78
"372746",372746,"south","A",9945,"2004-09-13",20.67,5.59,4.57,5.21566208720235,0.00103918102046507,4.18,1.61,2.44
"1078740",1078740,"central","A",10004,"2007-06-26",5.86,2.09,1.8,1.43252376742786,0,1.56,1.19,0.85
"1081297",1081297,"south","C",10004,"1999-09-17",19.64,3.68,3.88,4.4611271645974,0.00891341556609566,2.95,1.48,2.41
"2185761",2185761,"central","A",10096,"2007-06-11",0.97,1.59,1.64,1.55923783681899,0.000505728122645877,1.19,1.22,0.59
"512198",512198,"central","C",9957,"2007-06-13",4.76,2.19,2.37,2.05840564347861,0,1.61,1.34,0.75
"402347",402347,"central","B",9948,"1999-07-01",14.95,5.87,4.56,2.37756707161406,1.45390146563728,4.06,1.56,2.09
"190278",190278,"south","B",9930,"2007-04-28",0,1.06,1.16,6.2820933821827,1.69606574218238,0.74,1.23,0.38
"1167374",1167374,"north","D",10012,"1997-10-06",21.04,7.69,6.25,2.16822549302203,0.0053811356348136,5.6,1.69,2.87
"204294",204294,"south","A",9931,"2004-09-23",16.34,4.62,4.85,5.85561858071072,0.0124508564364579,3.32,1.48,2.5
"1535898",1535898,"central","A",10042,"2004-09-27",16.89,3.51,2.1,5.1482402896726,0,2.36,1.5,2.34
"276447",276447,"south","A",9937,"2004-08-09",18.52,5.81,4.58,4.82234365246337,0.00234975866317426,4.18,1.59,2.1
"2076344",2076344,"central","C",10087,"2004-07-16",13.62,3.72,2.14,2.25625004067563,0.00365553089656277,2.74,1.67,1.87
"635702",635702,"south","B",9967,"2007-11-17",3.04,2.55,2.11,3.01232449798091,0.0145996179076701,1.71,1.44,0.71
"2174548",2174548,"south","D",10095,"2004-05-15",0.83,2.83,2.98,3.73616910056343,27.3513957080865,1.93,1.43,0.6
"1049617",1049617,"north","C",10002,"2007-05-15",1.91,2.08,2.58,4.50854046688134,0,1.59,1.32,0.58
"306918",306918,"central","C",9940,"1997-07-29",22.11,6.57,5.01,3.03788904720358,1.28865115681934,4.26,1.73,2.56
"1743345",1743345,"south","C",10059,"2004-04-23",0,1.01,0.88,7.44713107076151,20.3243196662548,0.61,1.08,0.39
"1492028",1492028,"south","A",10038,"2007-09-05",7.05,3.59,3.28,3.47162859027294,0.0329736368300641,2.49,1.41,1.45
"1952779",1952779,"north","A",10077,"2000-07-09",15.98,3.9,3.14,3.6143962023489,0.0127354769435421,2.36,1.63,1.83
"1797779",1797779,"central","D",10064,"2007-07-24",4.65,3.48,3.52,2.4728805516741,0,2.5,1.53,1.03
"517833",517833,"north","D",9958,"2000-04-27",0,0.79,0.77,2.64299990147055,0.0150383381138462,0.56,1.13,0.31
"171636",171636,"north","A",9929,"1999-05-16",6.69,4.46,4.49,3.77857591880322,0.0180523053668295,3.38,1.61,0.99
"537437",537437,"south","D",9959,"1997-06-05",0,2.94,3.48,3.21897661179994,0.00740454986952602,2.36,1.37,0.79
"2171468",2171468,"central","B",10095,"2000-09-09",20.97,2.59,2.1,6.52885800791049,2.93457053369013,2.05,1.44,2.46
"690981",690981,"central","B",9972,"1997-08-25",25.93,4.64,3.63,6.93776118489535,0.525400316386263,3.53,1.61,2.84
"1637001",1637001,"north","D",10051,"2000-08-04",17.13,4.32,2.98,4.4026058583469,0.305300051024714,3.21,1.64,2.36
"1757126",1757126,"north","D",10061,"1999-07-23",20.49,7.3,6.43,2.88191378185472,3.18531860962225,5.38,1.74,2.39
"2089512",2089512,"central","A",10088,"2007-06-26",1.28,2.07,1.7,1.36302505418163,0,1.53,1.5,0.91
"175123",175123,"central","C",9929,"2004-07-09",14.4,3.61,1.9,1.41022054397049,0.313639660818812,2.53,1.5,1.69
"1618868",1618868,"central","C",10049,"2000-06-03",5.45,3.2,2.59,1.25032686216792,15.7489096095461,2.38,1.46,0.77
"1505704",1505704,"north","B",10040,"2004-05-18",2.37,1.89,2.08,1.79015431686872,0.00446182615198754,1.35,1.34,0.56
"140801",140801,"south","D",9926,"2000-06-29",12.59,3.62,2.96,2.0539243131103,2.75519727934534,2.73,1.62,1.56
"1462667",1462667,"central","C",10036,"2004-07-22",16.22,3.93,2.14,2.65397619587003,11.6606003745641,2.58,1.48,1.86
"1525644",1525644,"south","B",10041,"2000-07-17",11.94,3.9,3.5,4.58142720149984,0.005112018266896,2.47,1.56,1.73
"1964399",1964399,"north","A",10078,"1997-07-19",11.47,3.99,3.85,2.57730778357756,2.5010637299373,2.76,1.53,1.76
"2422649",2422649,"central","D",10116,"1997-06-22",2.59,3.57,2.65,1.158863088523,2.1660110991527,2.51,1.58,1.21
"176895",176895,"south","D",9929,"2000-06-24",10.89,3.52,2.69,1.69476428509504,3.690402312142,2.72,1.58,1.5
"513477",513477,"south","D",9957,"1997-09-19",25.46,4.41,3.88,10.45322025318,1.32883748764634,3.33,1.53,3.57
"1134093",1134093,"north","A",10009,"1997-06-20",9.72,4.3,3.5,2.91692611314226,0.0181579932399595,2.78,1.44,1.32
"1161095",1161095,"central","C",10011,"2007-09-07",6.31,3.58,3.26,3.17716876422218,11.3664747175948,2.62,1.55,1.47
"2140928",2140928,"south","A",10092,"1997-06-29",9.74,4.44,3.21,1.28470702149992,5.07801840604514,3.31,1.72,1.65
"1304447",1304447,"central","B",10023,"2007-08-14",9.79,3.62,3.78,2.8026831084114,4.47679007806873,2.51,1.63,1.24
"2551220",2551220,"north","D",10127,"1999-04-30",1.54,3.85,3.65,5.79014989336961,0.010606293234809,2.44,1.52,0.75
"502083",502083,"south","D",9956,"2004-09-14",34.68,4.8,3.46,12.4192026836417,0,3.33,1.57,3.57
