"genotype","type","mean","lcl","ucl"
"hec","observed",31,27,35
"heb","observed",32,27.7,36.3
"hea","observed",32,29.7,34.3
"jfd","observed",29,25.7,32.3
"jfc","observed",30,25.7,34.3
"jfb","observed",28,26.2,29.8
"jfa","observed",25,22.4,27.6
"ifd","observed",18,9.3,26.7
"ifc","observed",28,24.7,31.3
"ifb","observed",28,23.4,32.6
"ifa","observed",23,17.7,28.3
"hfd","observed",43,40.7,45.3
"hfc","observed",34,28.5,39.5
"hfb","observed",43,37.9,48.1
"hfa","observed",36,33.3,38.7
"jgd","observed",23,20.1,25.9
"jgc","observed",23,16.8,29.2
"jgb","observed",21,17.7,24.3
"jga","observed",22,15,29
"igd","observed",29,27.1,30.9
"igb","observed",34,32,36
"iga","observed",22,15.9,28.1
"hgd","observed",50,44.8,55.2
"hgc","observed",50,45.2,54.8
"hgb","observed",46,43,49
"hga","observed",49,45.7,52.3
"igc","observed",32,26.8,37.2
